
mm/dd,2022:LWG:gaspct (%),2021:LWG:gaspct (%),2020:LWG:gaspct (%),2019:LWG:gaspct (%),2018:LWG:gaspct (%),2017:LWG:gaspct (%),2016:LWG:gaspct (%),2015:LWG:gaspct (%),2014:LWG:gaspct (%),2013:LWG:gaspct (%),2012:LWG:gaspct (%),2011:LWG:gaspct (%),2010:LWG:gaspct (%),2009:LWG:gaspct (%),2008:LWG:gaspct (%),2007:LWG:gaspct (%),2006:LWG:gaspct (%),2005:LWG:gaspct (%),2004:LWG:gaspct (%),2003:LWG:gaspct (%),2002:LWG:gaspct (%),2001:LWG:gaspct (%),2000:LWG:gaspct (%),1999:LWG:gaspct (%),1998:LWG:gaspct (%),2022:LWG:outflow (kcfs),2021:LWG:outflow (kcfs),2020:LWG:outflow (kcfs),2019:LWG:outflow (kcfs),2018:LWG:outflow (kcfs),2017:LWG:outflow (kcfs),2016:LWG:outflow (kcfs),2015:LWG:outflow (kcfs),2014:LWG:outflow (kcfs),2013:LWG:outflow (kcfs),2012:LWG:outflow (kcfs),2011:LWG:outflow (kcfs),2010:LWG:outflow (kcfs),2009:LWG:outflow (kcfs),2008:LWG:outflow (kcfs),2007:LWG:outflow (kcfs),2006:LWG:outflow (kcfs),2005:LWG:outflow (kcfs),2004:LWG:outflow (kcfs),2003:LWG:outflow (kcfs),2002:LWG:outflow (kcfs),2001:LWG:outflow (kcfs),2000:LWG:outflow (kcfs),1999:LWG:outflow (kcfs),1998:LWG:outflow (kcfs),2022:LWG:spillpct (%),2021:LWG:spillpct (%),2020:LWG:spillpct (%),2019:LWG:spillpct (%),2018:LWG:spillpct (%),2017:LWG:spillpct (%),2016:LWG:spillpct (%),2015:LWG:spillpct (%),2014:LWG:spillpct (%),2013:LWG:spillpct (%),2012:LWG:spillpct (%),2011:LWG:spillpct (%),2010:LWG:spillpct (%),2009:LWG:spillpct (%),2008:LWG:spillpct (%),2007:LWG:spillpct (%),2006:LWG:spillpct (%),2005:LWG:spillpct (%),2004:LWG:spillpct (%),2003:LWG:spillpct (%),2002:LWG:spillpct (%),2001:LWG:spillpct (%),2000:LWG:spillpct (%),1999:LWG:spillpct (%),1998:LWG:spillpct (%),2022:LWG:tempc (C),2021:LWG:tempc (C),2020:LWG:tempc (C),2019:LWG:tempc (C),2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C),2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C)
3/29,102.639,NA,100.567,101.106,102.894,108.385,101.453,101.949,104.078,102.439,102.044,103.427,103.756,101.792,101.577,98.237,102.532,101.626,101.940,100.667,100.475,102.276,101.623,105.507,101.039,57.083,38.000,39.600,76.608,55.167,152.954,58.867,62.100,72.779,37.608,89.213,77.788,30.675,43.004,41.479,54.938,63.500,46.733,43.613,42.321,66.133,39.542,60.121,112.921,61.604,0.000,0.000,0.000,0.000,12.326,52.877,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.686,0.000,8.129,NA,7.839,6.958,6.935,8.106,7.652,8.153,7.048,5.898,7.254,7.325,8.125,6.258,6.317,7.579,6.859,7.370,8.895,7.344,6.075,7.663,7.642,7.133,7.550
3/30,101.834,NA,100.551,100.177,103.970,108.720,101.292,103.005,103.191,104.006,102.775,103.776,103.750,100.313,101.274,99.655,103.437,99.728,101.755,101.481,100.574,100.807,101.737,106.493,101.634,58.833,44.388,36.604,78.138,58.546,161.358,52.304,64.746,90.292,36.700,95.796,87.967,34.075,43.446,46.371,55.000,63.896,44.821,52.208,40.163,56.583,44.025,55.717,100.413,57.979,0.000,2.619,0.000,0.000,11.643,50.195,0.000,0.000,0.000,0.000,25.667,9.554,0.000,0.000,0.000,18.909,0.000,0.000,0.000,0.000,0.000,0.000,6.005,1.531,0.000,8.141,NA,7.680,6.778,7.352,8.123,7.743,8.895,7.280,6.515,7.520,7.478,8.262,6.174,6.369,7.468,6.828,7.142,8.679,7.365,6.543,7.876,8.335,6.996,7.654
3/31,100.770,NA,100.315,101.242,103.312,106.866,101.058,102.820,103.673,105.855,103.227,104.357,101.832,101.312,100.176,100.382,103.077,99.876,100.917,102.783,101.388,101.434,101.050,106.413,101.950,57.800,47.038,40.958,77.067,56.529,168.033,50.688,60.800,85.804,42.225,113.654,108.342,34.613,54.979,37.029,50.583,69.158,41.588,45.508,42.475,57.117,40.150,55.967,95.196,57.471,0.000,0.000,0.000,0.000,12.029,47.932,0.000,0.000,0.000,0.000,22.638,18.391,0.674,0.000,0.000,6.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.198,NA,7.377,6.963,7.692,8.167,7.829,9.204,7.279,7.156,7.583,7.410,8.243,6.224,6.332,7.353,7.052,7.080,8.538,7.237,6.785,7.787,8.478,6.996,7.646
4/1,100.320,NA,100.047,102.523,104.312,107.805,101.649,101.929,103.976,104.884,101.846,105.147,100.903,101.051,100.428,101.138,101.726,99.969,101.523,104.246,100.946,101.935,101.888,105.122,102.314,56.329,48.063,45.042,69.590,57.429,159.096,58.917,59.417,68.458,44.854,127.279,123.613,33.692,52.763,42.792,39.758,67.850,38.821,50.963,61.667,67.633,31.730,55.583,85.813,43.983,0.000,0.000,0.000,0.000,11.841,54.333,0.000,0.000,7.130,0.000,17.504,40.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.078,NA,7.388,7.312,8.147,8.128,8.048,9.110,7.330,7.510,7.785,7.309,8.300,6.276,6.283,7.428,7.163,7.074,8.589,7.242,6.511,7.368,8.331,6.896,7.800
4/2,100.690,NA,99.947,104.041,104.003,108.224,102.443,101.184,103.284,104.200,100.265,105.938,102.194,101.316,100.464,101.309,101.571,100.301,102.571,104.713,101.231,102.444,102.465,106.035,102.567,48.017,46.913,40.167,62.113,59.492,155.829,60.983,70.221,68.404,57.154,126.475,129.504,39.658,57.583,38.675,52.571,74.678,38.063,47.771,69.775,60.946,37.733,57.304,85.650,52.733,0.000,0.000,0.000,0.000,11.444,54.157,0.000,0.000,0.000,0.000,17.559,43.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.196,0.000,8.165,NA,7.674,7.750,8.374,8.062,8.603,8.937,7.152,8.101,7.764,7.330,8.404,6.156,6.052,7.609,7.254,7.574,9.308,7.809,6.744,7.415,8.063,7.196,7.938
4/3,101.274,NA,100.015,103.692,102.861,107.709,102.703,100.625,103.300,104.268,103.272,102.673,101.081,100.908,100.968,100.467,102.414,101.492,103.066,101.962,102.303,100.799,104.902,105.884,103.115,45.913,55.129,39.617,62.042,62.204,153.717,61.200,59.825,63.496,57.308,112.275,138.654,36.221,64.154,44.846,42.271,72.000,35.813,38.625,76.271,60.767,37.521,63.421,89.363,53.554,68.264,60.766,60.433,59.839,67.630,53.564,31.393,32.358,30.586,33.685,24.542,46.927,52.870,30.032,44.003,45.195,27.737,0.000,9.838,12.262,16.690,0.000,1.196,30.934,0.000,8.023,NA,8.014,8.059,8.478,8.137,9.095,8.993,7.225,8.736,7.493,7.457,8.363,6.021,6.137,7.785,7.574,7.692,9.644,8.319,7.455,7.503,8.691,7.250,8.088
4/4,102.501,NA,100.397,102.875,102.446,107.911,102.732,101.204,103.706,104.691,104.842,102.712,100.249,99.256,102.147,99.967,102.298,100.545,102.752,100.736,102.454,99.966,104.952,105.531,103.565,45.538,54.029,38.125,66.275,68.421,150.613,65.579,56.379,66.496,56.379,105.663,124.646,32.108,59.392,42.433,38.129,72.954,34.396,44.304,70.763,54.175,35.200,56.498,83.365,55.821,72.642,62.219,60.973,60.593,66.366,52.591,30.555,35.799,31.111,36.021,19.046,41.317,59.266,34.089,48.026,52.049,32.835,0.000,41.030,28.714,50.554,0.000,2.604,31.464,0.000,7.680,NA,8.046,8.290,8.408,8.269,9.233,8.776,7.314,9.144,7.327,7.133,8.455,5.744,6.344,7.932,7.311,7.430,9.563,8.102,7.544,7.727,8.750,7.404,8.325
4/5,100.644,NA,100.871,102.701,102.317,109.012,101.623,102.701,103.424,103.235,103.823,104.047,99.426,99.933,102.043,99.768,104.103,100.451,102.538,99.596,103.407,101.281,103.664,106.095,103.706,45.021,57.375,34.371,73.346,74.246,144.675,68.842,54.279,70.388,64.163,108.129,137.517,27.708,63.729,44.817,36.658,96.163,41.129,43.154,68.750,55.496,35.796,78.796,80.288,57.683,72.402,61.641,61.450,57.507,63.842,50.996,29.113,37.046,28.935,31.612,18.639,46.640,54.827,31.716,45.370,54.558,38.494,0.000,38.935,29.285,51.036,0.000,6.298,38.157,0.000,7.473,NA,7.885,8.653,8.135,8.270,9.471,8.533,7.548,8.994,7.336,6.789,8.278,6.035,6.520,8.067,7.448,7.632,9.306,7.332,7.183,7.902,9.197,7.878,8.630
4/6,99.680,NA,100.638,101.469,103.169,110.470,101.665,103.035,103.410,102.645,103.116,104.393,98.597,100.513,102.284,100.426,101.802,101.911,105.208,100.288,103.352,102.219,103.140,104.282,104.652,42.804,60.267,36.325,80.283,76.417,140.988,65.900,50.888,66.792,71.821,106.500,137.988,30.354,64.217,45.358,34.404,116.888,42.854,55.904,66.922,66.321,32.625,87.983,77.975,64.117,71.070,64.899,59.796,52.304,65.333,49.694,30.406,39.663,30.206,28.416,19.100,47.166,58.668,31.521,44.819,58.520,29.188,0.000,46.270,29.064,42.075,0.000,0.313,38.009,8.549,7.575,NA,7.718,8.776,8.200,8.441,9.740,8.300,7.790,9.160,7.306,6.908,7.942,6.263,6.768,8.185,8.012,7.990,9.513,7.154,7.155,7.795,9.277,7.854,8.700
4/7,100.413,NA,100.317,101.385,105.211,111.404,102.049,102.982,103.011,102.223,104.099,105.047,98.753,102.886,102.279,101.769,102.663,103.029,105.294,101.360,103.261,101.081,101.320,105.621,103.673,40.904,59.946,38.050,84.800,86.679,138.692,65.842,50.350,71.646,75.550,100.346,127.808,25.421,64.683,43.342,35.508,137.013,37.733,49.163,62.492,71.861,29.688,81.492,75.546,68.971,69.573,64.398,60.403,49.366,59.439,49.171,30.667,40.111,28.206,26.875,23.174,43.320,50.451,31.732,46.779,56.653,39.668,0.000,36.766,32.364,49.637,0.000,14.255,41.730,42.168,7.758,NA,7.728,8.703,8.612,8.667,9.659,8.245,7.923,9.054,7.300,7.021,7.758,6.717,6.888,8.184,8.147,8.381,10.107,7.293,7.395,7.679,9.221,8.100,8.775
4/8,101.413,NA,100.708,100.796,104.676,109.373,104.248,102.288,103.884,100.869,105.276,104.991,99.880,104.600,102.667,102.471,105.356,101.888,104.376,102.261,102.162,99.650,103.035,105.432,103.308,40.458,58.550,44.550,118.204,104.292,142.983,68.408,48.496,71.158,75.750,95.338,117.358,24.800,65.754,47.967,39.038,128.296,35.746,51.883,61.350,70.758,26.279,78.488,74.588,63.067,69.640,64.169,63.524,37.791,49.581,53.759,29.931,41.687,30.648,31.326,21.258,38.270,49.059,31.253,42.373,51.414,33.192,0.000,24.269,33.741,39.250,0.000,37.538,43.632,45.765,7.868,NA,8.201,8.608,9.030,8.581,9.266,8.292,8.028,8.816,7.448,6.815,7.706,7.280,6.972,8.192,8.090,8.473,10.445,7.430,7.725,7.578,9.079,8.013,9.117
4/9,100.688,NA,101.292,101.508,102.398,107.565,105.689,101.488,104.274,99.791,106.894,105.512,99.185,103.734,102.458,102.732,105.987,100.833,103.873,102.456,102.289,100.335,103.533,104.121,104.363,39.029,56.638,46.904,157.346,113.788,149.483,72.488,45.929,70.738,71.938,93.067,113.254,25.829,79.575,46.279,46.338,129.492,42.346,54.817,60.954,71.083,33.354,74.838,74.892,61.875,64.161,64.084,62.637,36.128,43.268,52.531,28.189,43.972,28.939,33.015,21.781,37.416,51.121,25.872,44.098,43.413,33.429,0.000,45.954,34.244,32.148,0.000,36.955,42.186,46.680,7.788,NA,9.034,8.033,9.152,8.455,9.240,8.238,8.320,8.603,7.663,6.893,7.568,7.674,7.326,8.610,8.241,8.348,10.620,7.523,7.949,7.868,8.501,8.063,9.471
4/10,102.003,NA,101.539,100.918,103.400,108.278,105.074,102.465,104.740,100.650,107.800,105.361,100.253,102.810,101.730,101.682,106.631,101.659,105.629,104.263,101.546,101.245,104.729,103.678,104.654,42.192,51.354,49.442,195.621,110.879,143.533,82.304,46.588,83.167,63.067,91.979,109.400,30.400,82.950,46.063,50.438,129.425,41.258,51.213,60.508,74.779,34.954,78.517,76.533,60.325,63.460,66.394,63.223,44.067,44.237,50.493,24.842,43.288,24.825,32.195,21.771,37.252,58.580,24.794,44.034,39.934,36.134,0.000,89.877,42.270,34.797,0.000,39.249,43.461,44.385,7.699,NA,9.565,7.623,8.755,8.435,9.775,8.511,8.698,8.372,7.986,7.256,7.655,8.076,7.405,9.340,8.622,8.661,11.227,8.109,7.770,8.053,8.934,8.292,9.629
4/11,104.029,NA,101.396,103.266,105.317,108.937,103.631,102.650,105.087,100.358,108.088,105.531,101.371,101.643,101.100,101.555,106.413,102.701,106.044,104.749,102.637,100.791,104.807,104.122,104.843,42.338,52.792,53.213,165.838,106.679,140.658,90.688,45.004,81.700,62.533,96.883,105.050,24.425,80.421,44.242,48.629,126.933,47.167,49.167,64.054,77.229,23.875,81.550,72.825,59.850,60.732,64.428,63.715,35.250,45.561,49.008,22.545,44.737,25.178,32.683,20.906,31.378,48.499,25.253,45.960,41.213,32.379,0.000,90.524,30.775,34.750,0.000,24.550,46.212,42.088,7.649,NA,9.649,7.470,8.929,8.575,10.291,8.755,9.014,7.976,8.413,7.752,7.817,8.273,7.617,10.444,8.878,9.349,11.129,8.686,8.063,8.282,9.563,8.642,9.400
4/12,102.917,NA,100.725,104.611,105.243,109.731,102.622,101.488,104.764,101.847,106.752,105.634,101.981,101.380,102.262,100.508,105.637,101.323,105.108,104.413,102.169,99.419,104.797,104.054,104.083,39.700,48.808,58.004,135.938,110.875,136.058,94.483,44.992,84.288,59.554,102.313,106.800,24.604,83.221,45.408,50.171,128.783,37.142,46.800,68.588,73.000,27.192,81.838,75.138,58.471,60.474,66.758,62.962,33.716,42.048,46.233,21.494,44.888,26.329,34.087,22.623,32.370,48.027,24.448,44.650,39.889,35.308,0.000,91.725,29.415,35.693,0.000,24.698,45.270,42.988,7.863,NA,9.910,7.545,9.178,8.515,10.421,8.992,8.916,7.904,8.892,8.015,8.060,8.137,7.982,10.504,8.826,9.581,11.088,8.867,8.049,8.259,10.021,8.258,9.433
4/13,102.048,NA,100.248,104.844,102.831,109.575,102.810,102.713,103.472,102.765,105.904,106.706,101.879,101.615,103.467,99.355,106.385,100.221,104.209,104.164,103.211,98.679,104.968,103.936,103.946,39.975,47.604,58.563,123.617,116.642,134.133,99.817,43.017,84.271,59.354,112.175,100.925,29.000,87.425,43.533,49.908,126.350,37.950,54.592,73.979,76.192,29.417,94.642,79.446,58.900,61.163,63.160,62.974,33.706,38.937,45.222,20.304,46.891,24.346,34.258,19.718,28.763,56.221,23.244,46.239,39.965,33.835,0.000,75.911,27.223,32.005,0.000,24.241,44.315,30.129,7.890,NA,10.083,7.971,9.337,8.643,10.296,9.392,8.742,8.013,9.185,8.070,8.358,8.205,8.139,10.107,8.959,9.407,10.507,9.354,8.093,8.189,9.995,8.217,9.665
4/14,102.084,NA,99.862,104.392,102.418,107.625,103.462,101.833,103.751,101.598,105.286,106.368,101.049,101.961,103.729,100.321,108.152,99.443,104.420,102.459,103.649,99.417,104.360,103.723,103.000,40.450,44.967,54.992,114.450,107.475,135.354,103.983,43.433,82.875,60.433,111.463,98.746,28.042,94.796,54.025,47.413,132.529,38.479,57.304,81.692,90.200,28.942,105.225,81.733,55.492,61.496,62.407,64.351,37.043,42.142,37.577,19.562,46.633,25.078,33.653,25.977,27.199,54.799,21.559,37.429,41.805,34.955,0.000,69.725,32.296,27.002,0.000,23.632,43.044,10.317,7.825,NA,10.152,8.423,9.237,8.813,9.843,9.530,8.933,7.933,9.185,7.908,8.551,7.863,8.015,9.567,9.108,9.066,10.420,9.263,8.129,8.410,9.915,8.596,9.763
4/15,100.742,NA,99.619,103.953,104.607,106.715,102.526,99.989,104.367,101.281,104.647,105.310,101.111,102.033,103.287,100.163,107.121,100.957,103.499,101.684,102.869,102.113,103.182,105.168,102.194,40.213,45.463,50.571,113.746,106.742,130.092,106.150,43.338,79.900,55.638,105.050,90.588,31.904,90.271,64.225,45.204,143.325,39.492,64.508,82.600,121.683,26.475,108.954,80.158,57.292,61.040,62.396,63.681,36.998,42.259,30.703,19.128,46.572,40.285,35.887,24.461,24.240,59.971,22.682,31.685,44.152,39.901,0.000,59.733,24.828,35.112,0.000,27.114,44.033,10.305,7.428,NA,9.820,8.757,8.973,8.809,9.458,9.570,8.822,7.939,9.098,8.012,8.781,8.103,8.273,9.259,9.064,9.290,10.377,9.115,8.436,8.938,9.899,9.117,9.658
4/16,100.711,NA,99.898,103.334,106.104,108.404,101.661,100.408,104.457,99.901,104.924,106.194,102.454,100.729,101.491,100.739,105.288,102.092,102.291,101.346,101.393,102.850,102.853,107.096,101.774,40.529,45.396,51.300,110.313,106.925,120.958,100.771,41.617,69.192,52.117,100.433,79.048,34.488,77.810,62.263,49.450,151.146,35.758,56.542,75.629,112.258,25.063,104.492,83.329,55.567,61.766,60.285,62.809,38.421,42.277,25.016,20.153,48.508,29.700,38.375,21.445,24.827,58.898,25.645,32.597,40.411,43.187,0.000,65.466,17.897,27.407,0.000,23.973,42.075,10.820,7.060,NA,9.206,8.977,9.332,8.867,9.392,9.543,8.649,8.092,9.103,8.008,9.407,7.884,8.890,9.062,9.008,9.373,10.583,9.016,8.117,8.994,9.419,9.417,9.467
4/17,99.783,NA,102.697,102.454,103.625,108.783,102.610,101.917,104.999,99.147,104.874,106.420,101.442,100.958,99.636,101.590,104.841,101.187,101.967,101.999,101.041,101.625,103.492,108.545,101.892,39.746,45.029,52.333,105.867,110.675,119.938,94.029,42.638,71.371,50.254,99.375,88.888,33.150,82.613,61.817,47.963,151.979,37.863,50.983,74.133,101.354,29.258,96.542,84.658,55.796,61.023,62.348,61.553,39.952,40.912,37.749,21.629,47.445,30.755,40.146,20.168,23.536,61.287,24.815,32.724,41.386,43.693,0.000,69.627,27.304,27.114,0.000,24.596,41.776,10.783,6.799,NA,8.913,9.054,9.460,9.470,9.337,9.523,8.616,8.140,9.045,8.300,9.461,7.562,8.910,9.102,8.585,9.053,10.428,8.779,7.082,8.763,9.322,9.608,9.367
4/18,101.872,NA,102.955,102.461,102.381,107.928,104.222,101.522,104.046,100.046,104.891,105.359,101.424,101.308,100.191,101.716,104.828,100.693,101.648,101.672,100.575,101.700,104.248,107.450,103.523,38.283,44.129,47.929,102.488,103.779,124.529,92.075,45.171,72.692,45.275,101.354,96.421,39.208,81.104,62.846,46.483,146.175,44.846,49.767,70.050,91.063,33.463,98.333,90.771,53.479,60.035,62.638,62.418,42.086,43.566,41.767,22.097,44.627,30.233,44.589,19.942,25.725,52.168,25.112,32.281,43.008,41.386,0.000,68.280,29.033,29.677,0.000,24.214,38.683,11.243,6.919,NA,8.684,9.352,9.421,9.580,9.507,9.512,8.336,8.133,8.600,8.766,10.012,7.693,8.345,9.315,8.585,8.711,10.297,8.615,7.012,8.837,9.488,9.688,9.679
4/19,101.621,NA,102.113,104.489,103.506,106.996,105.027,102.549,104.313,101.317,105.262,103.827,103.183,102.175,101.826,101.824,107.238,101.779,102.553,102.448,101.538,102.978,103.917,106.109,103.086,39.413,47.179,50.308,107.754,100.213,126.050,90.325,43.108,69.692,45.796,104.075,104.367,44.875,83.367,64.950,48.317,138.300,43.288,47.213,65.392,85.525,31.238,100.596,97.558,52.571,70.938,64.329,63.144,37.377,44.984,42.533,22.497,46.810,34.330,44.445,24.397,31.140,45.525,24.565,31.685,41.333,38.714,0.000,68.519,30.951,28.384,0.000,23.332,34.885,11.445,6.804,NA,8.725,9.749,9.031,9.726,10.093,9.599,8.235,8.129,8.628,9.011,10.544,8.214,8.054,9.516,8.685,8.653,10.257,9.044,7.595,9.273,9.962,9.925,9.554
4/20,102.105,NA,102.984,105.118,104.852,107.096,105.292,105.259,102.764,101.720,105.337,104.023,103.929,102.926,101.885,102.358,108.991,103.050,102.568,103.380,102.492,104.574,103.654,105.336,104.440,41.496,50.725,50.221,123.850,96.192,127.813,93.367,47.133,71.004,48.888,104.192,106.658,48.704,90.308,66.325,45.679,134.729,43.508,45.267,64.000,75.883,33.625,104.833,118.200,58.271,62.787,62.929,65.112,40.102,46.903,43.051,21.818,42.928,32.759,41.754,23.382,33.530,42.022,22.622,30.908,43.784,36.620,0.000,68.363,40.996,33.439,0.000,24.408,27.654,10.318,6.938,NA,9.243,10.295,9.141,9.852,10.641,10.124,8.535,8.069,9.065,8.606,10.984,8.580,8.334,9.559,8.888,9.272,9.622,9.248,7.794,9.838,10.573,9.971,10.196
4/21,102.281,NA,102.833,103.281,105.200,106.775,105.065,105.451,103.546,102.375,105.294,105.659,102.967,104.027,100.681,102.450,108.629,102.203,102.216,103.932,103.257,102.696,105.402,105.062,106.372,43.333,47.538,49.392,153.567,91.283,133.996,98.888,47.333,72.617,51.546,106.408,109.704,50.792,103.129,66.458,47.967,118.108,41.667,43.800,64.779,72.521,36.179,104.371,126.546,64.496,73.942,64.852,62.409,41.863,49.393,45.841,20.583,42.817,28.403,39.568,19.187,34.327,39.869,19.838,30.915,41.522,27.503,0.000,67.188,31.646,43.855,0.000,24.847,25.809,14.736,7.035,NA,9.662,10.741,9.740,10.193,11.138,10.437,9.162,7.970,9.243,8.604,11.417,9.030,8.618,9.437,9.332,10.127,9.683,9.153,7.843,10.169,11.048,9.863,10.696
4/22,102.379,NA,102.507,103.151,104.901,108.344,105.106,103.451,103.141,101.455,106.013,104.977,102.112,104.816,100.418,101.638,106.545,102.697,102.141,104.365,103.456,101.420,104.706,104.278,107.171,44.408,44.058,54.238,160.788,88.446,126.942,106.096,50.442,77.863,54.758,114.800,105.363,62.046,121.504,58.429,45.258,115.442,39.621,41.896,67.229,67.346,32.450,110.788,122.104,61.979,71.383,65.907,63.870,44.261,50.054,43.130,19.169,40.236,26.216,37.125,20.833,36.956,32.785,18.106,35.128,44.062,25.947,0.000,66.620,20.397,36.212,0.000,23.589,26.675,10.467,7.315,NA,10.107,10.157,10.171,10.273,11.394,10.325,9.463,7.927,9.783,8.677,12.148,9.260,8.478,9.204,9.846,10.503,10.123,9.137,8.123,10.399,10.688,9.508,10.925
4/23,101.316,NA,102.847,105.073,104.441,109.561,103.454,103.574,102.929,101.740,106.647,105.438,100.716,103.330,100.713,101.200,105.335,102.959,102.735,105.019,101.983,101.402,103.093,105.087,106.413,41.183,46.000,62.683,158.108,91.450,120.717,115.038,56.113,74.667,49.925,128.721,101.963,76.113,140.150,51.363,45.579,118.029,39.404,42.133,74.317,73.908,34.292,116.300,119.800,71.233,65.237,63.007,63.746,43.409,45.890,44.902,32.884,36.304,27.444,40.527,31.117,29.692,26.802,23.160,39.572,43.843,27.500,0.000,62.643,27.436,25.572,0.000,42.933,27.692,9.499,7.685,NA,10.650,9.869,10.506,10.511,11.412,10.809,9.548,8.115,10.441,8.946,12.110,9.277,7.973,9.024,10.047,10.239,10.316,9.815,8.427,10.803,10.688,9.338,10.850
4/24,102.117,NA,102.591,105.013,104.650,108.676,102.345,102.985,102.435,102.389,106.042,106.752,99.395,102.060,100.245,101.263,105.547,102.108,101.078,103.187,101.847,102.790,101.959,107.432,103.935,37.758,47.358,74.046,155.629,94.650,123.408,129.692,53.913,77.117,45.017,143.008,98.413,69.379,140.442,53.333,46.279,131.254,41.817,40.050,80.988,71.883,31.725,109.267,103.492,84.867,61.852,61.499,63.412,42.641,43.300,46.269,36.118,37.638,28.139,44.965,40.140,27.004,29.482,26.117,38.273,43.045,34.694,0.000,62.113,32.515,21.058,0.000,29.162,33.270,21.033,8.712,NA,11.253,9.981,10.576,10.565,10.860,11.008,9.514,8.609,10.846,8.983,11.447,9.090,7.807,9.128,9.954,9.769,10.008,9.988,9.129,11.275,10.435,9.792,11.110
4/25,102.399,NA,102.504,105.180,105.611,107.056,102.588,101.904,101.795,103.191,105.046,107.091,98.652,102.687,100.449,101.251,106.648,103.046,102.898,102.463,102.235,104.872,103.591,108.187,101.283,37.433,48.267,73.167,163.288,93.779,130.783,125.204,56.033,82.929,44.992,166.721,94.058,61.971,121.446,60.404,48.467,134.563,45.438,42.129,80.583,62.521,34.846,102.596,110.450,98.404,61.710,63.070,66.896,42.193,40.227,44.740,30.547,36.489,27.493,45.379,47.592,26.934,33.167,17.796,33.745,40.973,36.640,0.000,55.446,25.471,20.710,0.000,23.612,45.407,32.430,9.060,NA,11.037,10.218,10.591,10.713,10.081,11.139,8.949,8.960,10.957,9.195,10.422,8.651,7.930,9.260,9.850,10.169,10.794,9.944,9.289,11.841,9.900,10.004,11.392
4/26,102.376,NA,102.261,105.900,106.293,106.721,103.426,100.726,102.341,103.106,105.660,105.112,101.339,103.071,100.066,101.276,107.053,106.154,104.889,101.886,103.143,105.409,104.863,105.938,99.946,39.925,48.983,74.692,157.025,97.033,131.800,111.438,53.958,82.342,48.042,170.292,95.538,55.713,109.521,55.938,51.583,132.592,48.504,41.746,81.646,59.883,41.125,98.021,113.817,94.338,64.319,63.559,65.581,33.105,36.478,43.118,21.499,37.653,24.967,42.186,45.177,28.130,36.841,18.665,36.544,38.780,37.169,0.000,52.320,16.818,33.732,0.000,24.578,39.001,29.106,9.178,NA,10.495,10.150,10.857,10.904,9.744,10.841,8.578,9.267,10.316,9.514,10.058,8.429,8.415,9.538,9.759,11.799,11.654,9.579,9.352,12.025,10.212,10.263,11.192
4/27,102.765,NA,103.075,105.275,106.833,105.726,104.218,100.752,101.913,103.049,102.897,103.836,104.002,103.243,100.944,102.304,106.587,105.287,104.009,101.989,103.691,106.755,105.489,105.167,100.974,45.217,47.996,78.796,155.021,95.621,136.854,105.183,50.292,79.421,52.233,185.663,96.504,52.988,99.113,58.546,53.721,125.196,52.083,45.729,81.783,59.679,46.050,90.963,122.604,84.133,59.436,64.190,64.322,32.442,35.705,38.182,19.426,40.447,38.883,38.609,49.460,25.582,38.814,20.608,34.652,37.051,31.487,0.000,44.444,25.369,30.695,0.000,24.557,35.853,20.711,9.604,NA,10.218,9.923,11.228,10.802,10.046,10.617,8.495,9.206,9.710,9.735,10.054,8.480,8.657,10.093,9.842,12.033,11.338,9.492,9.143,12.387,10.064,10.533,10.592
4/28,103.764,NA,102.321,103.906,105.646,104.433,104.288,101.940,100.170,103.419,104.270,104.163,103.359,103.298,102.054,101.974,106.893,102.801,102.918,103.126,103.577,103.960,104.737,104.082,103.517,41.908,46.892,84.329,139.692,103.996,135.075,104.821,50.004,74.363,51.800,179.208,93.733,55.271,91.367,55.158,55.925,124.796,55.142,53.158,79.442,59.317,57.496,95.458,122.375,82.204,65.987,63.569,64.662,32.959,30.887,35.866,19.665,40.513,32.039,39.165,47.552,23.284,36.871,22.373,36.622,35.405,31.445,0.000,35.378,34.055,32.948,0.000,24.395,33.035,18.698,10.074,NA,10.348,9.694,11.419,10.560,10.180,10.629,8.533,9.288,8.951,9.833,9.993,8.665,8.578,10.152,10.204,11.605,11.470,9.466,9.377,11.930,9.928,10.242,10.488
